Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
FBXO6,TUSC3,"JURKAT cell,T-cell leukemia"
FBXO6,TUT1,"JURKAT cell,T-cell leukemia"
FBXO6,TXNDC11,"JURKAT cell,T-cell leukemia"
FBXO6,TXNDC15,"JURKAT cell,T-cell leukemia"
FBXO6,UCK2,"JURKAT cell,T-cell leukemia"
FBXO6,UGGT2,"HEK-293 cell,JURKAT cell,T-cell leukemia"
FBXO6,UGT8,"HEK-293 cell,JURKAT cell,T-cell leukemia"
FBXO6,VAPA,"JURKAT cell,T-cell leukemia"
FBXO6,VARS,"JURKAT cell,T-cell leukemia"
FBXO6,VDAC2,"JURKAT cell,T-cell leukemia"
FBXO6,VDAC3,"HEK-293 cell,JURKAT cell,T-cell leukemia"
FBXO6,VPS4A,"JURKAT cell,T-cell leukemia"
FBXO6,VWDE,"JURKAT cell,T-cell leukemia"
FBXO6,XPOT,"JURKAT cell,T-cell leukemia"
FBXO6,YTHDF2,"JURKAT cell,T-cell leukemia"
FBXO6,YWHAE,"JURKAT cell,T-cell leukemia"
FBXO6,ACTG1,HEK-293 cell
FBXO6,AMOT,HEK-293 cell
FBXO6,ATP1A1,HEK-293 cell
FBXO6,CAPZA1,HEK-293 cell
FBXO6,CAPZB,HEK-293 cell
FBXO6,CCT4,HEK-293 cell
FBXO6,CCT7,HEK-293 cell
FBXO6,HSPD1,HEK-293 cell
FBXO6,CPVL,HEK-293 cell
FBXO6,DBN1,HEK-293 cell
FBXO6,EEF1A1,HEK-293 cell
FBXO6,EEF1G,HEK-293 cell
FBXO6,EFHD2,HEK-293 cell
FBXO6,GALK1,HEK-293 cell
FBXO6,HIST1H4A,HEK-293 cell
FBXO6,HIST1H4D,HEK-293 cell
FBXO6,HIST1H4E,HEK-293 cell
FBXO6,HIST1H4H,HEK-293 cell
FBXO6,HIST1H4I,HEK-293 cell
FBXO6,HIST2H4A,HEK-293 cell
FBXO6,HIST2H4B,HEK-293 cell
FBXO6,HIST4H4,HEK-293 cell
FBXO6,HNRNPA1,HEK-293 cell
FBXO6,HNRNPH1,HEK-293 cell
FBXO6,HNRNPK,HEK-293 cell
FBXO6,HSP90AB1,HEK-293 cell
FBXO6,HSPA8,HEK-293 cell
FBXO6,HUWE1,HEK-293 cell
FBXO6,IGSF3,HEK-293 cell
FBXO6,ILK,HEK-293 cell
FBXO6,KIF11,HEK-293 cell
FBXO6,MIR7-1,HEK-293 cell
FBXO6,MYO6,HEK-293 cell
FBXO6,NOMO1,HEK-293 cell
FBXO6,NOMO3,HEK-293 cell
FBXO6,PCBP1,HEK-293 cell
FBXO6,PKM,HEK-293 cell
FBXO6,RIOK1,HEK-293 cell
FBXO6,RUVBL2,HEK-293 cell
FBXO6,SLC25A10,HEK-293 cell
FBXO6,SPTBN1,HEK-293 cell
FBXO6,STK38L,HEK-293 cell
FBXO6,TRIM21,HEK-293 cell
FBXO6,TUBA1C,HEK-293 cell
FBXO6,TUBB,HEK-293 cell
FBXO6,TUBB2B,HEK-293 cell
FBXO6,TUBB4A,HEK-293 cell
FBXO6,TUBG2,HEK-293 cell
FBXO6,VIM,HEK-293 cell
FBXO6,WDR77,HEK-293 cell
CAV1,PTGIS,umbilical vein endothelium
PTGIS,CAV1,umbilical vein endothelium
CAV1,PTGIS,umbilical vein endothelium
LIPG,LIPG,HEK-293 cell
SUMO1,PTGS2,"OVCAR-3 cell,nucleus,resveratrol"
MAPK3,PTGS2,"OVCAR-3 cell,nucleus,resveratrol"
MAPK3,TP53,"OVCAR-3 cell,nucleus,resveratrol"
PTGS2,TP53,"OVCAR-3 cell,nucleus,resveratrol"
PTGS2,EP300,"OVCAR-3 cell,nucleus,resveratrol"
TP53,PTGS2,"OVCAR-3 cell,nucleus,resveratrol"
TP53,EP300,"OVCAR-3 cell,nucleus,resveratrol"
TP53,MAPK3,"OVCAR-3 cell,nucleus,resveratrol"
VASP,YWHAQ,HeLa cell
NPM1,YWHAQ,HeLa cell
CDK11B,CDK11B,A-375 cell
CDK11B,CDK11B,A-375 cell
YWHAB,TSC2,HEK-293 cell
GGT1,GGT1,kidney
GGT1,GGT1,liver
GGT1,GGT1,testis
GGT1,GGT1,lung
AKT1,JADE1,HK-2 cell
JADE1,AKT1,HK-2 cell
JADE1,AKT1,"HK-2 cell,plasma membrane"
LATS2,HSP90AB1,A-549 cell
LATS1,HSP90AB1,A-549 cell
CD81,GGT1,"B-lymphoma cell line,lymphoma"
CD81,CD82,"B-lymphoma cell line,lymphoma"
ATR,CHEK1,HeLa cell
WAS,FNBP1,HeLa cell
GNB2L1,PTOV1,PC-3 cell
GNB2L1,PTOV1,PC-3 cell
GNB2L1,RPS6,PC-3 cell
POLH,PCNA,HEK-293T cell
PCNA,POLH,HEK-293T cell
PRKCQ,PRKCQ,phorbol ester
SUGT1,PMF1,HEK-293T cell
ARPC1B,AARS,HeLa cell
ARPC2,AARSD1,HeLa cell
ARPC5,AARSD1,HeLa cell
CALR,AARSD1,HeLa cell
EFTUD2,AARSD1,HeLa cell
GTF2E1,AARSD1,HeLa cell
HARS,AARSD1,HeLa cell
PFDN1,AARSD1,HeLa cell
PFDN5,AARSD1,HeLa cell
PPP1R12A,AARSD1,HeLa cell
PRKACA,AARSD1,HeLa cell
TRMT10A,AARSD1,HeLa cell
RPA1,AARSD1,HeLa cell
RPA3,AARSD1,HeLa cell
RPRD1B,AARSD1,HeLa cell
SH3GLB1,AARSD1,HeLa cell
THG1L,AARSD1,HeLa cell
UBQLN2,AARSD1,HeLa cell
XPO5,AARSD1,HeLa cell
HSF1,AARS,HeLa cell
METTL1,AARS,HeLa cell
SAE1,AARS,HeLa cell
STAT5B,AARS,HeLa cell
TOM1L1,AARS,HeLa cell
SGTA,AASDHPPT,HeLa cell
TRIP13,AASDHPPT,HeLa cell
C14orf166,ABCF1,HeLa cell
RTCB,ABCF1,HeLa cell
YBX3,ABCF1,HeLa cell
DDX1,ABCF1,HeLa cell
DIMT1,ABCF1,HeLa cell
EIF2B2,ABCF1,HeLa cell
EIF2B3,ABCF1,HeLa cell
RFC4,ABCF1,HeLa cell
ECHS1,ABHD14A,HeLa cell
EIF6,ABHD14A,HeLa cell
GSS,ABHD14A,HeLa cell
HSPA9,ABHD14A,HeLa cell
PFAS,ABHD14A,HeLa cell
CTSA,ABHD14A,HeLa cell
PPP5C,ABHD14A,HeLa cell
TPM1,ABI2,HeLa cell
SGTA,ACAA2,HeLa cell
CCT3,ACACA,HeLa cell
KIF5B,ACACA,HeLa cell
ALDH9A1,ACAT2,HeLa cell
FH,ACAT2,HeLa cell
HEXA,ACAT2,HeLa cell
OLA1,ACAT2,HeLa cell
PKM,ACAT2,HeLa cell
TUBB3,ACAT2,HeLa cell
UBA3,ACAT2,HeLa cell
CUL3,ACBD3,HeLa cell
GORASP2,ACBD3,HeLa cell
GTF2E1,ACBD3,HeLa cell
BAG3,ACLY,HeLa cell
KPNA2,ACLY,HeLa cell
PPP6C,ACLY,HeLa cell
PRMT1,ACLY,HeLa cell
SRRT,ACLY,HeLa cell
DCPS,ACO1,HeLa cell
LGALS1,ACO1,HeLa cell
STRAP,ACO1,HeLa cell
GDI1,ACOT7,HeLa cell
ACTG1,ACTA1,HeLa cell
ACTA1,ACTBL2,HeLa cell
ACTG1,ACTBL2,HeLa cell
FAM65A,ACTBL2,HeLa cell
ACTN4,ACTN1,HeLa cell
CDAN1,ACTN1,HeLa cell
VCP,ACTN4,HeLa cell
DCTN2,ACTR10,HeLa cell
DCTN3,ACTR10,HeLa cell
COG3,ACTR1A,HeLa cell
DCTN2,ACTR1A,HeLa cell
DCTN3,ACTR1A,HeLa cell
DCTN2,ACTR1B,HeLa cell
ANP32B,ACTR2,HeLa cell
ARPC1B,ACTR2,HeLa cell
BAG1,ACTR2,HeLa cell
CALR,ACTR2,HeLa cell
DHPS,ACTR2,HeLa cell
EFTUD1,ACTR2,HeLa cell
P3H1,ACTR2,HeLa cell
OSGEP,ACTR2,HeLa cell
TTLL12,ACTR2,HeLa cell
ACTR2,ACTR3,HeLa cell
ANP32B,ACTR3,HeLa cell
ARPC1B,ACTR3,HeLa cell
ARPC2,ACTR3,HeLa cell
DNAAF5,ACTR3,HeLa cell
HNRNPF,ACTR3,HeLa cell
PPP1R12A,ACTR3,HeLa cell
TNPO3,ACTR3,HeLa cell
TTLL12,ACTR3,HeLa cell
PSMC2,ADRM1,HeLa cell
PSMC5,ADRM1,HeLa cell
PSMD11,ADRM1,HeLa cell
PSMD14,ADRM1,HeLa cell
RPS21,ADRM1,HeLa cell
UCHL5,ADRM1,HeLa cell
DNAJB1,ADSL,HeLa cell
GTF2I,ADSL,HeLa cell
NPLOC4,ADSL,HeLa cell
PDE12,ADSL,HeLa cell
RAD23B,ADSL,HeLa cell
SAE1,ADSL,HeLa cell
UBQLN2,ADSL,HeLa cell
XPNPEP1,ADSL,HeLa cell
ANXA6,ADSS,HeLa cell
DCK,ADSS,HeLa cell
GSR,ADSS,HeLa cell
IDH1,ADSS,HeLa cell
MAPK14,ADSS,HeLa cell
OXCT1,ADSS,HeLa cell
ALAD,AGFG1,HeLa cell
P3H1,AGFG1,HeLa cell
BCAT1,AGL,HeLa cell
SERPINE2,AGL,HeLa cell
SP100,AGL,HeLa cell
VPS25,AGL,HeLa cell
ACAT2,AHCY,HeLa cell
FH,AHCY,HeLa cell
HEXA,AHCY,HeLa cell
HK1,AHCY,HeLa cell
OGFOD1,AHCY,HeLa cell
UBA3,AHCY,HeLa cell
BAG2,AHNAK,HeLa cell
EIF4E,AHSA1,HeLa cell
DNAJA1,AIMP1,HeLa cell
EEF1E1,AIMP1,HeLa cell
EIF2S1,AIMP1,HeLa cell
EIF2S3,AIMP1,HeLa cell
EIF4G1,AIMP1,HeLa cell
CCAR2,AIMP1,HeLa cell
MARS,AIMP1,HeLa cell
PTBP1,AIMP1,HeLa cell
QARS,AIMP1,HeLa cell
RPL13,AIMP1,HeLa cell
RPL36,AIMP1,HeLa cell
EEF1E1,AIMP2,HeLa cell
EIF4G1,AIMP2,HeLa cell
CCAR2,AIMP2,HeLa cell
MARS,AIMP2,HeLa cell
QARS,AIMP2,HeLa cell
HSPA9,AIP,HeLa cell
DYNC1H1,AKAP12,HeLa cell
FLNA,AKAP12,HeLa cell
ACTR2,ALAD,HeLa cell
P3H1,ALAD,HeLa cell
ALDOC,ALDOA,HeLa cell
OGFOD1,ALDH1B1,HeLa cell
FERMT2,ALDH7A1,HeLa cell
G6PD,ALDH7A1,HeLa cell
LDHB,ALDH7A1,HeLa cell
PGD,ALDH7A1,HeLa cell
STK24,ALDH7A1,HeLa cell
ACOT7,ALDH9A1,HeLa cell
BCCIP,ALDH9A1,HeLa cell
GDI1,ALDH9A1,HeLa cell
PGD,ALDH9A1,HeLa cell
HSPA1A,ALDOC,HeLa cell
CSNK2B,AMPD2,HeLa cell
INPPL1,AMPD2,HeLa cell
FAM21A,ANKFY1,HeLa cell
ROCK1,ANKFY1,HeLa cell
DHPS,ANKMY2,HeLa cell
LRSAM1,ANKMY2,HeLa cell
PARP6,ANKMY2,HeLa cell
RPRD1A,ANKMY2,HeLa cell
STAT5B,ANKMY2,HeLa cell
CTTNBP2NL,ANKRD28,HeLa cell
LEO1,ANKRD28,HeLa cell
PACSIN2,ANKS1A,HeLa cell
PTPN12,ANKS1A,HeLa cell
BAG1,ANP32A,HeLa cell
OXSR1,ANP32A,HeLa cell
PKM,ANP32A,HeLa cell
SRP14,ANP32A,HeLa cell
ARPC5,ANP32B,HeLa cell
BAG1,ANP32B,HeLa cell
CALR,ANP32B,HeLa cell
DHPS,ANP32B,HeLa cell
KIAA1279,ANP32B,HeLa cell
ATG7,ANP32E,HeLa cell
RDX,ANP32E,HeLa cell
RNASEH2B,ANP32E,HeLa cell
SARS,ANP32E,HeLa cell
VPS35,ANP32E,HeLa cell
GOT1,ANXA6,HeLa cell
MTAP,ANXA6,HeLa cell
PLS3,ANXA6,HeLa cell
POLE3,ANXA6,HeLa cell
UBE2H,ANXA6,HeLa cell
ABCE1,AP1B1,HeLa cell
HEXIM1,AP1M1,HeLa cell
PLOD2,AP2B1,HeLa cell
AP3B1,AP3D1,HeLa cell
AP3B1,AP3M1,HeLa cell
PSMA3,AP3M1,HeLa cell
AP3B1,AP3S1,HeLa cell
SMC4,AP3S1,HeLa cell
DNM1L,APEH,HeLa cell
JMJD6,APEH,HeLa cell
SHMT1,APEH,HeLa cell
SHMT2,APEH,HeLa cell
STAT1,APEH,HeLa cell
TBCD,APEH,HeLa cell
TOLLIP,APEH,HeLa cell
VPS26A,APEH,HeLa cell
ARIH2,APEX1,HeLa cell
HNRNPK,APEX1,HeLa cell
LGALS1,APEX1,HeLa cell
NAE1,APEX1,HeLa cell
PABPC1,APEX1,HeLa cell
PAPSS2,APEX1,HeLa cell
PSMG1,APEX1,HeLa cell
TXN,APEX1,HeLa cell
XPOT,APEX1,HeLa cell
ADSL,API5,HeLa cell
EHD1,API5,HeLa cell
STAT6,API5,HeLa cell
STK39,API5,HeLa cell
XPNPEP1,API5,HeLa cell
ABI2,APPL2,HeLa cell
FAM65A,APPL2,HeLa cell
TPM1,APPL2,HeLa cell
COPZ1,ARCN1,HeLa cell
DDB2,ARCN1,HeLa cell
DIAPH1,ARCN1,HeLa cell
CDC73,ARFGEF2,HeLa cell
NUP98,ARFGEF2,HeLa cell
YAP1,ARFIP1,HeLa cell
SNX5,ARFIP2,HeLa cell
CD2AP,ARHGEF10,HeLa cell
DHPS,ARIH1,HeLa cell
GOPC,ARIH1,HeLa cell
P3H1,ARIH1,HeLa cell
WDR4,ARIH1,HeLa cell
ZPR1,ARIH1,HeLa cell
EHD1,ARIH2,HeLa cell
PAPSS2,ARIH2,HeLa cell
PARP6,ARIH2,HeLa cell
PES1,ARL2,HeLa cell
CRTAP,ARMC9,HeLa cell
BCAR1,ARMCX3,HeLa cell
GANAB,ARMCX3,HeLa cell
HYOU1,ARMCX3,HeLa cell
PRKCSH,ARMCX3,HeLa cell
SMC1A,ARMCX3,HeLa cell
TSEN34,ARMCX3,HeLa cell
ARPC5,ARPC1A,HeLa cell
SH3GLB1,ARPC1A,HeLa cell
ANP32A,ARPC1B,HeLa cell
ANP32B,ARPC1B,HeLa cell
ARPC4,ARPC1B,HeLa cell
ARPC5,ARPC1B,HeLa cell
CALR,ARPC1B,HeLa cell
DHPS,ARPC1B,HeLa cell
METTL1,ARPC1B,HeLa cell
PDCD4,ARPC1B,HeLa cell
SUMO1,ARPC1B,HeLa cell
TOM1L1,ARPC1B,HeLa cell
ACTR2,ARPC2,HeLa cell
ANP32B,ARPC2,HeLa cell
ARPC1B,ARPC2,HeLa cell
METTL1,ARPC2,HeLa cell
PFDN5,ARPC2,HeLa cell
PPP1R12A,ARPC2,HeLa cell
PPP2R5D,ARPC2,HeLa cell
SUMO1,ARPC2,HeLa cell
TNPO3,ARPC2,HeLa cell
TOM1L1,ARPC2,HeLa cell
ARPC1B,ARPC3,HeLa cell
ARPC2,ARPC3,HeLa cell
ARPC4,ARPC3,HeLa cell
CALR,ARPC3,HeLa cell
TRMT10A,ARPC3,HeLa cell
ACTR2,ARPC4,HeLa cell
ACTR3,ARPC4,HeLa cell
ARPC2,ARPC4,HeLa cell
BAG1,ARPC4,HeLa cell
METTL1,ARPC4,HeLa cell
RPA3,ARPC4,HeLa cell
RPRD1B,ARPC4,HeLa cell
SH3GLB1,ARPC4,HeLa cell
SUMO1,ARPC4,HeLa cell
TPRKB,ARPC4,HeLa cell
TTLL12,ARPC4,HeLa cell
ACTR3,ARPC5,HeLa cell
ARPC2,ARPC5,HeLa cell
ARPC3,ARPC5,HeLa cell
ARPC4,ARPC5,HeLa cell
METTL1,ARPC5,HeLa cell
RPA3,ARPC5,HeLa cell
TOM1L1,ARPC5,HeLa cell
TPRKB,ARPC5,HeLa cell
ATIC,ASB6,HeLa cell
EZR,ASB6,HeLa cell
FH,ASB6,HeLa cell
MCTS1,ASB6,HeLa cell
OGFOD1,ASB6,HeLa cell
XPNPEP1,ASB6,HeLa cell
GDI1,ASL,HeLa cell
HK1,ASL,HeLa cell
NEDD8,ASL,HeLa cell
PDHA1,ASL,HeLa cell
BAG6,ASNA1,HeLa cell
EIF6,ASNA1,HeLa cell
HSPA8,ASNA1,HeLa cell
RUVBL2,ASNA1,HeLa cell
ALDH7A1,ASNS,HeLa cell
CAPN2,ASNS,HeLa cell
DCPS,ASNS,HeLa cell
MSN,ASNS,HeLa cell
STK26,ASNS,HeLa cell
MYO1E,ASNS,HeLa cell
OGFOD1,ASNS,HeLa cell
OLA1,ASNS,HeLa cell
PAFAH1B1,ASNS,HeLa cell
STK24,ASNS,HeLa cell
TWF2,ASNS,HeLa cell
VCL,ASNS,HeLa cell
ATG3,ASS1,HeLa cell
CAPN1,ASS1,HeLa cell
CNDP2,ASS1,HeLa cell
EIF4E,ASS1,HeLa cell
GBP2,ASS1,HeLa cell
GSS,ASS1,HeLa cell
MVD,ASS1,HeLa cell
NAMPT,ASS1,HeLa cell
CTSA,ASS1,HeLa cell
EHD1,ATE1,HeLa cell
ATG5,ATG16L1,HeLa cell
MAN2B1,ATG7,HeLa cell
AHCY,ATIC,HeLa cell
CAPN2,ATIC,HeLa cell
CTH,ATIC,HeLa cell
FH,ATIC,HeLa cell
GMDS,ATIC,HeLa cell
MCTS1,ATIC,HeLa cell
STK26,ATIC,HeLa cell
MYO1E,ATIC,HeLa cell
OGFOD1,ATIC,HeLa cell
PAPSS1,ATIC,HeLa cell
UBA1,ATIC,HeLa cell
GBP1,ATP5B,HeLa cell
HSPD1,ATP6V1A,HeLa cell
MTAP,ATP6V1A,HeLa cell
RAB1A,ATP6V1A,HeLa cell
MSH2,ATP6V1B2,HeLa cell
PDE3A,ATP6V1B2,HeLa cell
SEC24C,ATP6V1B2,HeLa cell
SSRP1,ATP6V1B2,HeLa cell
VTA1,ATP6V1C1,HeLa cell
ATP6V1G1,ATP6V1E1,HeLa cell
GMPPB,ATP6V1H,HeLa cell
USP47,ATP6V1H,HeLa cell
CD44,BAG1,HeLa cell
EFTUD1,BAG1,HeLa cell
RPA3,BAG1,HeLa cell
RPRD1B,BAG1,HeLa cell
TRNT1,BASP1,HeLa cell
UBXN1,BASP1,HeLa cell
EEF1D,BAG6,HeLa cell
HYOU1,BCAR1,HeLa cell
FTO,BCCIP,HeLa cell
GDA,BCCIP,HeLa cell
NAGK,BCCIP,HeLa cell
HYOU1,BIN1,HeLa cell
PDE4D,BIN1,HeLa cell
GBF1,BIRC6,HeLa cell
GORASP2,BLMH,HeLa cell
HEXB,BNIP2,HeLa cell
GARS,BOP1,HeLa cell
GORASP2,BOP1,HeLa cell
GTF2A1,BOP1,HeLa cell
CD2AP,BRCC3,HeLa cell
GPHN,BRCC3,HeLa cell
HDAC1,BRCC3,HeLa cell
NR3C1,BRCC3,HeLa cell
RABEP2,BRCC3,HeLa cell
SF3A1,BRCC3,HeLa cell
TRIM28,BRCC3,HeLa cell
BABAM1,BRE,HeLa cell
FAM175B,BRE,HeLa cell
ACTA1,BRK1,HeLa cell
ACTG1,BRK1,HeLa cell
CDKN2A,BRK1,HeLa cell
NCKAP1,BRK1,HeLa cell
ADSL,BTF3L4,HeLa cell
PDCD4,BTF3,HeLa cell
GANAB,BUB1B,HeLa cell
PRKCSH,BUB1B,HeLa cell
EEF2,BZW1,HeLa cell
LDHA,BZW1,HeLa cell
LDHB,BZW1,HeLa cell
CAPN1,BZW2,HeLa cell
DFFA,BZW2,HeLa cell
EIF6,BZW2,HeLa cell
HSPA9,BZW2,HeLa cell
PFAS,BZW2,HeLa cell
CTSA,BZW2,HeLa cell
PPP5C,BZW2,HeLa cell
OXCT1,C12orf10,HeLa cell
JMJD6,ASUN,HeLa cell
ALAD,C14orf142,HeLa cell
ARPC1B,C14orf142,HeLa cell
CBS,C14orf142,HeLa cell
P3H1,C14orf142,HeLa cell
RTCB,C14orf166,HeLa cell
YBX3,C14orf166,HeLa cell
DDX1,C14orf166,HeLa cell
DHX9,C14orf166,HeLa cell
EIF2B2,C14orf166,HeLa cell
EIF2B3,C14orf166,HeLa cell
KRT18,C14orf166,HeLa cell
DDI2,HYPK,HeLa cell
NAA15,HYPK,HeLa cell
P3H1,SZRD1,HeLa cell
NARS,C1QBP,HeLa cell
XRCC5,C1QBP,HeLa cell
YBX3,RTCB,HeLa cell
DDX1,RTCB,HeLa cell
DHX9,RTCB,HeLa cell
EIF2B2,RTCB,HeLa cell
EIF2B3,RTCB,HeLa cell
KRT18,RTCB,HeLa cell
EEF1D,OARD1,HeLa cell
PSMD10,OARD1,HeLa cell
HEXA,C9orf78,HeLa cell
UBE2R2,C9orf78,HeLa cell
METTL1,CACYBP,HeLa cell
EPB41L2,CALD1,HeLa cell
FH,CALD1,HeLa cell
ARPC5,CALR,HeLa cell
RPA3,CALR,HeLa cell
SH3GLB1,CALR,HeLa cell
ACTR2,CALU,HeLa cell
ACTR3,CALU,HeLa cell
HARS,CALU,HeLa cell
OSGEP,CALU,HeLa cell
P4HB,CALU,HeLa cell
PCNA,CALU,HeLa cell
UBA2,CALU,HeLa cell
UBQLN2,CALU,HeLa cell
WARS,CALU,HeLa cell
APEH,CAND1,HeLa cell
HSPA4,CAND1,HeLa cell
JMJD6,CAND1,HeLa cell
OSBP,CAND1,HeLa cell
PPM1G,CAND1,HeLa cell
SHMT2,CAND1,HeLa cell
STAT1,CAND1,HeLa cell
TRMT112,CAND1,HeLa cell
HSP90B1,CAP1,HeLa cell
KIAA1598,CAP1,HeLa cell
SIRT1,CAP1,HeLa cell
BCCIP,CAPN1,HeLa cell
CNDP2,CAPN1,HeLa cell
EIF4E,CAPN1,HeLa cell
EIF6,CAPN1,HeLa cell
G6PD,CAPN1,HeLa cell
PFAS,CAPN1,HeLa cell
SLC9A3R1,CAPN1,HeLa cell
ALDH7A1,CAPN2,HeLa cell
CTH,CAPN2,HeLa cell
GMDS,CAPN2,HeLa cell
HK1,CAPN2,HeLa cell
MSN,CAPN2,HeLa cell
STK26,CAPN2,HeLa cell
NAE1,CAPN2,HeLa cell
PCYT2,CAPN2,HeLa cell
TWF2,CAPN2,HeLa cell
UBA3,CAPN2,HeLa cell
ASNS,CAPNS1,HeLa cell
EIF5,CAPNS1,HeLa cell
FERMT2,CAPNS1,HeLa cell
GAPDH,CAPNS1,HeLa cell
GNAI3,CAPNS1,HeLa cell
STK26,CAPNS1,HeLa cell
MYO1E,CAPNS1,HeLa cell
OGFOD1,CAPNS1,HeLa cell
PSMG1,CAPZA1,HeLa cell
SGTA,CAPZA1,HeLa cell
STRAP,CAPZA1,HeLa cell
TUBB3,CAPZA1,HeLa cell
YWHAB,CAPZA1,HeLa cell
PSMG1,CAPZA2,HeLa cell
RPL18A,CAPZA2,HeLa cell
SGTA,CAPZA2,HeLa cell
STRAP,CAPZA2,HeLa cell
AHCY,CAPZB,HeLa cell
CAPZA1,CAPZB,HeLa cell
DCTPP1,CAPZB,HeLa cell
HEXA,CAPZB,HeLa cell
TUBB3,CAPZB,HeLa cell
FAF1,CARM1,HeLa cell
SUPT5H,CARM1,HeLa cell
CAPN1,CASP7,HeLa cell
CNDP2,CASP7,HeLa cell
EEF2,CASP7,HeLa cell
CTSA,CASP7,HeLa cell
COPS4,CAST,HeLa cell
COPS5,CAST,HeLa cell
CUL4A,CAST,HeLa cell
KIF5B,CAST,HeLa cell
PSMA6,CAST,HeLa cell
RPP38,CAST,HeLa cell
SART3,CAST,HeLa cell
DERA,CBS,HeLa cell
NPLOC4,CBS,HeLa cell
PKM,CBS,HeLa cell
SF3A1,CCDC6,HeLa cell
CCT5,CCT2,HeLa cell
CCT8,CCT2,HeLa cell
CCT2,CCT3,HeLa cell
CCT4,CCT3,HeLa cell
CCT6A,CCT3,HeLa cell
PPP4R2,CCT3,HeLa cell
TCP1,CCT3,HeLa cell
CCT6A,CCT4,HeLa cell
CCT7,CCT4,HeLa cell
USP9X,CCT4,HeLa cell
CCT7,CCT5,HeLa cell
CCT2,CCT6A,HeLa cell
CCT7,CCT6A,HeLa cell
CCT2,CCT7,HeLa cell
CCT3,CCT7,HeLa cell
CCT5,CCT8,HeLa cell
CCT6A,CCT8,HeLa cell
CCT7,CCT8,HeLa cell
SPAG9,CD2AP,HeLa cell
HUWE1,CD2AP,HeLa cell
NR3C1,CD2AP,HeLa cell
GNPDA1,CDC34,HeLa cell
USP5,CDC34,HeLa cell
WARS,CDC34,HeLa cell
HSP90B1,CDC37L1,HeLa cell
MGEA5,CDC37,HeLa cell
PPP6R3,CDC37,HeLa cell
TPM1,CDC37,HeLa cell
USP7,CDC37,HeLa cell
CHUK,CDC73,HeLa cell
COG3,CDC73,HeLa cell
CTR9,CDC73,HeLa cell
MYH14,CDC73,HeLa cell
NUP98,CDC73,HeLa cell
CCAR2,CDK9,HeLa cell
ACTA1,CDKN2A,HeLa cell
ACTG1,CDKN2A,HeLa cell
EIF6,CFL1,HeLa cell
DCK,CHMP4A,HeLa cell
SNCA,CHMP5,HeLa cell
NAGK,CHORDC1,HeLa cell
SMS,CHORDC1,HeLa cell
DCK,CHRAC1,HeLa cell
UROD,CHRAC1,HeLa cell
MYH14,CHUK,HeLa cell
ALDH9A1,CIAPIN1,HeLa cell
CAPZA1,CIAPIN1,HeLa cell
CNDP2,CKB,HeLa cell
DFFA,CKB,HeLa cell
DLD,CKB,HeLa cell
EEF2,CKB,HeLa cell
ERP44,CKB,HeLa cell
FTO,CKB,HeLa cell
HMGB2,CKB,HeLa cell
LDHB,CKB,HeLa cell
RRAGB,CKB,HeLa cell
SLC9A3R1,CKB,HeLa cell
BUB3,CLIP1,HeLa cell
MAEA,CLIP1,HeLa cell
PSMC2,CLIP1,HeLa cell
PDCD10,CLNS1A,HeLa cell
TRNT1,CLNS1A,HeLa cell
EPRS,CMYA5,HeLa cell
FOXK1,CMYA5,HeLa cell
DFFA,CNBP,HeLa cell
EIF6,CNBP,HeLa cell
FERMT2,CNBP,HeLa cell
HSPA9,CNBP,HeLa cell
PFAS,CNBP,HeLa cell
ECHS1,CNDP2,HeLa cell
FTO,CNDP2,HeLa cell
GSR,CNDP2,HeLa cell
KYNU,CNDP2,HeLa cell
LDHA,CNDP2,HeLa cell
LDHB,CNDP2,HeLa cell
NPEPPS,CNDP2,HeLa cell
ERP44,CNN2,HeLa cell
PDCD10,CNN2,HeLa cell
CCAR2,CNOT1,HeLa cell
KRT18,CNOT1,HeLa cell
YBX3,NELFB,HeLa cell
DDX1,NELFB,HeLa cell
DHX9,NELFB,HeLa cell
DIMT1,NELFB,HeLa cell
EIF2B2,NELFB,HeLa cell
EIF2B3,NELFB,HeLa cell
EIF3C,NELFB,HeLa cell
AP3B1,COG3,HeLa cell
COG7,COG3,HeLa cell
CTR9,COG3,HeLa cell
MYH14,COG3,HeLa cell
COG7,COG5,HeLa cell
COPB2,COPA,HeLa cell
DHX38,COPA,HeLa cell
COPZ1,COPB1,HeLa cell
DIAPH1,COPB1,HeLa cell
KIF5B,COPE,HeLa cell
ARHGEF10,COPG1,HeLa cell
COPS5,COPS2,HeLa cell
COPS7A,COPS2,HeLa cell
COPS7B,COPS2,HeLa cell
COPS8,COPS2,HeLa cell
COPS2,COPS3,HeLa cell
COPS4,COPS3,HeLa cell
COPS5,COPS3,HeLa cell
COPS6,COPS3,HeLa cell
COPS7A,COPS3,HeLa cell
COPS8,COPS3,HeLa cell
CUL4B,COPS3,HeLa cell
COPS2,COPS4,HeLa cell
COPS5,COPS4,HeLa cell
COPS6,COPS4,HeLa cell
COPS7A,COPS4,HeLa cell
COPS7B,COPS4,HeLa cell
COPS8,COPS4,HeLa cell
EPB41L2,COPS4,HeLa cell
HSP90AB1,COPS4,HeLa cell
