Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
PITPNA,PMVK,HEK-293 cell
RAB11A,RAB11FIP1,HEK-293 cell
STK24,STRN4,HEK-293 cell
EIF3A,EIF3H,HEK-293 cell
MCC,PPP2R1A,HEK-293 cell
EIF2B1,EIF2B3,HEK-293 cell
TWF2,KRT85,HEK-293 cell
PTP4A3,ABCD3,HEK-293 cell
GIPC1,SH3BP4,HEK-293 cell
YWHAB,KLC1,HEK-293 cell
YWHAG,PRPF4B,HEK-293 cell
RNPS1,CSNK2A2,HEK-293 cell
YWHAB,MLLT4,HEK-293 cell
SIRT2,PHB2,HEK-293 cell
ARHGDIA,RAC1,HEK-293 cell
PTP4A3,CNNM3,HEK-293 cell
SMYD2,CLASP2,HEK-293 cell
PSMD10,PSMD7,HEK-293 cell
SPOP,SIRT2,HEK-293 cell
YWHAG,IRS2,HEK-293 cell
ARRB1,AP3B1,HEK-293 cell
ASF1B,CHAF1B,HEK-293 cell
ELOVL1,PSMD10,HEK-293 cell
RNPS1,LUC7L,HEK-293 cell
TWF2,KRT31,HEK-293 cell
STK24,MOB4,HEK-293 cell
YWHAG,PARD3,HEK-293 cell
STK24,STK25,HEK-293 cell
YWHAG,PAK4,HEK-293 cell
ADI1,DBT,HEK-293 cell
PSMD10,PSMC6,HEK-293 cell
USF2,USF1,HEK-293 cell
ARF6,EPPK1,HEK-293 cell
TMBIM4,PPIB,HEK-293 cell
EEF1A2,EEF1B2,HEK-293 cell
YWHAG,MARK2,HEK-293 cell
ARHGDIA,RHOC,HEK-293 cell
CDC20,KRT31,HEK-293 cell
RNPS1,SRPK1,HEK-293 cell
SNRPB,KHK,HEK-293 cell
PHLDA3,NUP93,HEK-293 cell
RNPS1,CSNK2B,HEK-293 cell
RNPS1,PNN,HEK-293 cell
CDK4,CDKN2A,HEK-293 cell
EIF3A,EIF3I,HEK-293 cell
EIF3A,EIF3F,HEK-293 cell
RNPS1,U2AF2,HEK-293 cell
YWHAB,RACGAP1,HEK-293 cell
GSTK1,PDCD6IP,HEK-293 cell
YWHAZ,EPB41L3,HEK-293 cell
CDC25B,PHB2,HEK-293 cell
LYAR,KRT85,HEK-293 cell
PINX1,PLEKHJ1,HEK-293 cell
PLRG1,BCAS2,HEK-293 cell
VHL,STK16,HEK-293 cell
TMBIM4,MTX1,HEK-293 cell
HNF4A,SNCG,HEK-293 cell
PGRMC1,EFHD1,HEK-293 cell
YWHAB,KIF23,HEK-293 cell
ARRB2,KPNA3,HEK-293 cell
CNOT8,CNOT10,HEK-293 cell
PRKAR1A,UBE2M,HEK-293 cell
GSTK1,EPPK1,HEK-293 cell
YWHAG,RAI14,HEK-293 cell
BSG,RFXANK,HEK-293 cell
IKBKE,MYH10,HEK-293 cell
TRAF6,PFAS,HEK-293 cell
XRCC1,PNKP,HEK-293 cell
YWHAG,ARAF,HEK-293 cell
PASK,STK16,HEK-293 cell
SERINC3,XPO5,HEK-293 cell
RNPS1,SRSF1,HEK-293 cell
HLA-B,AHCY,HEK-293 cell
IKBKE,PABPC1,HEK-293 cell
RAB10,RAB8A,HEK-293 cell
DSTYK,RAB14,HEK-293 cell
SAP18,RPN2,HEK-293 cell
SUSD2,LGALS1,HEK-293 cell
HLA-B,VARS,HEK-293 cell
ARRB1,TCOF1,HEK-293 cell
CDC25B,KRT31,HEK-293 cell
